G1_S,G2_M,,,,,,,
mcm5,hmgb2a,,,,,,,
pcna,hmgb2b,,,,,,,
tyms,cdk1,,,,,,,
fen1,nusap1,,,,,,,
mcm2,ube2c,,,,,,,
mcm4,birc5a,,,,,,,
rrm1,birc5b,,,,,,,
ung,tpx2,,,,,,,
gins2,top2a,,,,,,,
mcm6,ndc80,,,,,,,
mcm6l,cks2,,,,,,,
cdca7a,nuf2,,,,,,,
cdca7b,cks1b,,,,,,,
dtl,mki67,,,,,,,
prim1,tmpoa,,,,,,,
uhrf1,tmpob,,,,,,,
cenpu,cenpf,,,,,,,
hells,tacc3,,,,,,,
rfc2,pimreg,,,,,,,
rpa2,smc4,,,,,,,
nasp,ccnb2,,,,,,,
rad51ap1,ckap2l,,,,,,,
gmnn,ckap2,,,,,,,
wdr76,aurkb,,,,,,,
slbp,bub1,,,,,,,
ccne2,kif11,,,,,,,
ubr7,anp32e,,,,,,,
pold3,tubb4,,,,,,,
msh2,gtse1,,,,,,,
atad2,kif20b,,,,,,,
rad51,hjurp,,,,,,,
rrm2,cdca3,,,,,,,
rrm2b,jpt1a,,,,,,,
cdc45,jpt1b,,,,,,,
cdc6,cdc20,,,,,,,
exo1,ttk,,,,,,,
tipin,cdc25c,,,,,,,
dscc1,kif2c,,,,,,,
blm,rangap1a,,,,,,,
casp8ap2,rangap1b,,,,,,,
usp1,ncapd2,,,,,,,
clspn,dlgap5,,,,,,,
pola1,cdca2,,,,,,,
chaf1b,cdca8,,,,,,,
brip1,ect2,,,,,,,
e2f8,kif23,,,,,,,
,hmmr,,,,,,,
,aurka,,,,,,,
,psrc1,,,,,,,
,anln,,,,,,,
,lbr,,,,,,,
,ckap5,,,,,,,
,cenpe,,,,,,,
,ctcfa,,,,,,,
,ctcfb,,,,,,,
,nek2,,,,,,,
,g2e3,,,,,,,
,gas2l3,,,,,,,
,cbx5a,,,,,,,
,cbx5b,,,,,,,
,cenpa,,,,,,,
