Cardiomyocyte_A,Cardiomyocyte_V,Endocardial_cell_V,EC_Artery,EC_Vein,EC_Capillary,EC_Lymphatic,Epicardial_cell_V,Fibroblast,Myofibroblast,Granulocyte,Monocyte,Macrophage,Dendritic_cell,B_cell,Mast_cell,T_cell,NK_cell,Smooth_muscle_cell,Pericyte,Neuronal_cell,Erythrocyte,Adipocyte,Mesenchymal_cell,Cycling
NPPA,FHL2,DCC,GJA5,ZBTB7C,PKD1L1,MMRN1,BNC1,ABCA8,POSTN,S100A8,CLNK,LYVE1,FLT3,BANK1,KIT,THEMIS,NCR1,MYH11,ABCC9,NRXN1,SLC4A1,GPAM,ABI3BP,MKI67
AL627413.1,TRDN-AS1,SMOC1,PCSK5,ACKR1,BTNL9,FLT4,ALDH1A2,DCN,TNC,S100A9,VCAN,MRC1,CIITA,PAX5,AC008568.1,IL7R,KLRF1,TAGLN,RGS5,NRXN3,SPTA1,ADIPOQ,THY1,CDK1
MYH6,MYH7,CDH11,SEMA3G,NR2F2,CD300LG,RELN,C3,DPT,FAP,BASP1,TBXAS1,CD209,CD1C,BLK,CPA3,ITK,GZMA,ACTA2,KCNJ8,S100B,HBA1,LEP,ITGB1,CDKN3
MYL4,MYL2,LINC02388,EFNB2,TSHZ2,CA4,SEMA3A,SLIT3,BICC1,CTHRC1,SRGN,PLAC8,CD68,XCR1,FCRL1,HDC,CD3D,GZMB,MYL9,AC103702.2,PLP1,HBA2,PLIN1,CD44,
CHRM2,PCDH7,TMEM132C,LINC00639,FAM155A,LNX1,PKHD1L1,MSLN,NEGR1,BGN,GCA,THBS1,C1QA,ITGAX,MS4A1,TPSAB1,CD3E,PRF1,CNN1,CD38,TUBB3,HBB,AQP7,,
ADGRL2,NLGN1,PKHD1L1,SMAD6,RAB3C,CLIC5,TBX1,PODN,LAMA2,COL3A1,MXD1,FCN1,C1QB,IRF8,IGHM,CDK15,CD3G,NKG7,ZFHX3,CSPG4,NCAM2,ALAS2,FASN,,
low_FHL2,CDH13,BMPER,FUT8,SNTG2,RGCC,PIEZO2,WT1,ABCA9,COL5A1,LITAF,CX3CR1,C1QC,ADAM28,IGHD,NTM,CD4,TBX21,low_ABCC9,PDGFRB,PROK2,,PPARG,,
,THSD4,TMEM108,SLC45A4,AL589693.1,TCF15,VAV3,UPK1B,MEG3,COL5A2,FCGR3B,CCR2,FOLR2,RTN1,GNG7,SLC24A3,CD8A,GNLY,,low_MYH11,,,,,
,LARGE1,CGNL1,low_LNX1,low_LNX1,MCF2L,NRP2,UPK3B,CD248,COL8A1,SIGLEC8,low_MERTK,TREM2,HLA-DQA1,PRKCB,AC092979.1,TCF7,CCL5,,,,,,,
,AL627171.2,VWF,low_ACKR1,low_GJA5,low_ACKR1,PROX1,low_POSTN,low_POSTN,FN1,low_LYVE1,,CD163,HLA-DRB1,IGHA1,SLC8A3,TRBC2,IL2RB,,,,,,,
,low_NPPA,BMX,,,low_GJA5,PIEZO2,low_ABCA8,low_FN1,low_ABCA8,low_FLT3,,MERTK,HLA-DPB1,IGHG1,,LCK,CTSW,,,,,,,
,,NPR3,,,,,low_KIT,,,,,low_CLNK,HLA-DRA,IGHG3,,TRGC1,low_THEMIS,,,,,,,
,,,,,,,low_HLA-DRB1,,,,,low_FLT3,IL4I1,POU2AF1,,TRDC,,,,,,,,
,,,,,,,low_LYVE1,,,,,,CSF2RA,FCRL5,,GATA3,,,,,,,,
,,,,,,,low_THEMIS,,,,,,STK17B,low_FLT3,,low_NCR1,,,,,,,,
,,,,,,,low_NCR1,,,,,,low_BANK1,,,,,,,,,,,
,,,,,,,low_SLC4A1,,,,,,low_LYVE1,,,,,,,,,,,
,,,,,,,low_FHL2,,,,,,low_CLNK,,,,,,,,,,,
,,,,,,,low_CDH11,,,,,,,,,,,,,,,,,
,,,,,,,low_MMRN1,,,,,,,,,,,,,,,,,
,,,,,,,low_RELN,,,,,,,,,,,,,,,,,
,,,,,,,low_VWF,,,,,,,,,,,,,,,,,
