Cardiomyocyte_A,Cardiomyocyte_V,Endocardial_cell_A,Endocardial_cell_V,EC_Artery,EC_Vein,EC_Capillary,EC_Lymphatic,Epicardial_cell_V,Fibroblast,Myofibroblast,Granulocyte,Monocyte,Macrophage,Dendritic_cell,B_cell,Mast_cell,T_cell,NK_cell,Smooth_muscle_cell,Pericyte,Neuronal_cell,Erythrocyte,Adipocyte,Mesenchymal_cell,Cycling
Sln,Myl2,Npr3,Gap43,Gja5,Ackr1,Car4,Prox1,Upk3b,Adamts5,Postn,S100a8,Ly6c2,C1qa,Flt3,Cd79a,Cpa3,Cd3d,Gzma,Myh11,Abcc9,S100b,Hba-a1,Pparg,Ly6a,Mki67
Myh6,Pln,Plvap,H19,Hey1,Apln,Rgcc,Ccl21a,Msln,Abca8a,Cthrc1,S100a9,Ms4a6c,C1qb,Cd209a,Cd79b,Cma1,Cd3e,Ncr1,Tagln,Kcnj8,Plp1,Hba-a2,Adipoq,Thy1,Cdk1
Nr2f1,Myh7,Ptn,Igfbp5,Sema3g,Nrp2,Btnl9,Lyve1,C3,Clec3b,Mfap4,Stfa2,Plac8,C1qc,H2-Aa,Igkc,Ccl3,Cd3g,Ccl5,Acta2,Pdgfrb,Kcna1,Hbb-bh1,Plin1,Cd44,Cdkn3
Nr2f2,Mpped2,Apoe,Lgals9,Fbln5,Ephb4,Mif,Flt4,Clu,Smoc2,Fn1,Pglyrp1,Msrb1,Cd68,H2-Ab1,Ighm,Ccl4,Cd4,Prf1,Myl9,Higd1b,Gfap,Hbb-bs,Aqp7,Itgb1,
Stard10,Sall4,Rbp1,Apold1,Efnb2,Nr2f2,Cldn5,Mmrn1,Slit3,Htra3,Bgn,Stfa2l1,Coro1a,Adgre1,H2-DMa,Ms4a1,Mcpt8,Cd8a,Gzmb,Mustn1,Colec11,Tuba1a,Hbb-bt,Lep,low_Pecam1,
Thbd,,Cdh11,Ptrf,Bmx,Tshz2,Cd300lg,Reln,C1s1,Lama2,Rbp1,Hp,Lst1,Ctsb,Xcr1,Bank1,Tph1,Cd8b1,Nkg7,Tpm2,Steap4,,Alas2,,low_Ptprc,
Vsnl1,,H19,Emp1,Gja4,Kcne3,Aqp1,Pard6g,Ptgis,Tcf21,Col5a2,Wfdc21,Arhgdib,Lgmn,Itgae,Ly6d,Scin,Tcf7,Tbx21,Mylk,low_Myh11,,Gata1,,low_Ddr2,
Gm15543,,,,low_Car4,low_Car4,Aplnr,,Fndc1,Gsn,Col8a1,Msrb1,Irf8,Apoe,Dpp4,Iglc1,Kit,Themis,Ms4a4b,low_Abcc9,,,,,,
,,,,,low_Cd300lg,low_Ackr1,,Mgst1,low_Postn,Col11a1,Gm5483,low_C1qa,low_Ly6c2,Plbd1,Iglc2,Hs6st2,Thy1,Il2rb,,,,,,,
,,,,,low_Hey1,low_Nr2f2,,Igfbp6,low_Cd248,Col12a1,,low_C1qb,low_Flt3,Macroh2a1,Iglc3,,Skap1,Ctsw,,,,,,,
,,,,,,,,,,Fstl1,,low_C1qc,,Relb,Cd37,,Trbc1,Selplg,,,,,,,
,,,,,,,,,,Cd248,,,,Mreg,,,Trbc2,low_Cd3d,,,,,,,
,,,,,,,,,,Mfap5,,,,Lsp1,,,Itk,,,,,,,,
,,,,,,,,,,low_Adamts5,,,,Il4i1,,,Bcl11b,,,,,,,,
,,,,,,,,,,,,,,Tmem123,,,Il7r,,,,,,,,
,,,,,,,,,,,,,,Napsa,,,Trgc1,,,,,,,,
,,,,,,,,,,,,,,Ifi30,,,Trdc,,,,,,,,
,,,,,,,,,,,,,,Ciita,,,Gata3,,,,,,,,
,,,,,,,,,,,,,,low_C1qa,,,Il1rl1,,,,,,,,
,,,,,,,,,,,,,,low_C1qb,,,Inpp4b,,,,,,,,
,,,,,,,,,,,,,,low_C1qc,,,low_Gzma,,,,,,,,
